,Borough,Neighborhood,ID,Name,Category,Venue_lat,Venue_lng
48,Brooklyn,Fort Hamilton,50e8d45ae4b06202fbe39b08,Top Thai,Thai Restaurant,40.62323607887372,-74.02817264059681
49,Manhattan,Chinatown,5cc4e9d0c876c8002c3010cb,Wayla,Thai Restaurant,40.7182908437571,-73.99258397519587
50,Manhattan,Chinatown,5e46e2ec5791a10008c55728,Thai Diner,Thai Restaurant,40.720739,-73.995631
51,Manhattan,Washington Heights,5809511c38fafba1ec352126,Tung Thong,Thai Restaurant,40.851109976169056,-73.93921985006985
52,Manhattan,East Harlem,55a85a66498e68da40bc7212,Malii,Thai Restaurant,40.789524977200365,-73.94323226322045
53,Manhattan,East Harlem,5a68fb506336be407ef635ab,Bangklyn East Harlem,Thai Restaurant,40.790287,-73.943054
54,Manhattan,East Harlem,5303fc3c11d250deaaf46b56,Absolute Thai Restaurant,Thai Restaurant,40.78920165381754,-73.94844039571389
55,Manhattan,East Harlem,549cd5bf498eec334637c27b,Pro Thai,Thai Restaurant,40.788988956121365,-73.94866168268142
56,Manhattan,Upper East Side,5997796d603d2a7019b8c58e,THEP Thai Restaurant,Thai Restaurant,40.77074334700357,-73.95705953980662
57,Manhattan,Yorkville,57f81d9e498e82d3766ccce8,PuTawn Local Thai Kitchen,Thai Restaurant,40.77459861106953,-73.95104174611885
58,Manhattan,Lenox Hill,52be229211d2aabfe6f24d20,Up Thai,Thai Restaurant,40.76989759006919,-73.9575976933572
59,Manhattan,Lenox Hill,5997796d603d2a7019b8c58e,THEP Thai Restaurant,Thai Restaurant,40.77074334700357,-73.95705953980662
60,Manhattan,Upper West Side,42951180f964a52045241fe3,Land Thai Kitchen,Thai Restaurant,40.78486751358464,-73.97712178279812
61,Manhattan,Upper West Side,54600d4a498e6bb7ceb3567d,Senn Thai Comfort Food,Thai Restaurant,40.78488,-73.976934
62,Manhattan,Clinton,51ea0c7b8bbd8c94347df35d,OBAO Hell's Kitchen,Thai Restaurant,40.76056300016482,-73.99108715100483
63,Manhattan,Murray Hill,5424bb1b498ecea0c85b6b43,Lan Larb Midtown,Thai Restaurant,40.74533363204334,-73.9755277555111
64,Manhattan,Little Italy,5e46e2ec5791a10008c55728,Thai Diner,Thai Restaurant,40.720739,-73.995631
65,Manhattan,Little Italy,5cc4e9d0c876c8002c3010cb,Wayla,Thai Restaurant,40.7182908437571,-73.99258397519587
66,Manhattan,Soho,5e46e2ec5791a10008c55728,Thai Diner,Thai Restaurant,40.720739,-73.995631
67,Manhattan,Manhattan Valley,49dfbfabf964a52009611fe3,Thai Market,Thai Restaurant,40.80127003774722,-73.96514080681695
68,Manhattan,Manhattan Valley,5516db98498e3f164dbdcb6e,Spice,Thai Restaurant,40.8016900821996,-73.96476016158024
69,Manhattan,Morningside Heights,49dfbfabf964a52009611fe3,Thai Market,Thai Restaurant,40.80127003774722,-73.96514080681695
70,Manhattan,Gramercy,5ee66a36459579000887cd2b,Soothr,Thai Restaurant,40.732287,-73.987287
71,Manhattan,Gramercy,5c82ac6951950e0039187d89,Nana Thai Street,Thai Restaurant,40.739568,-73.988513
72,Queens,Astoria,57fee854498e2fe6a134e544,Pochana Thai Kitchen,Thai Restaurant,40.765866836189865,-73.91925648391081
73,Queens,Astoria,51f32456498e149384c052df,Enthaice,Thai Restaurant,40.76316509784422,-73.92114974055457
74,Queens,Woodside,3fd66200f964a5204ef11ee3,SriPraPhai,Thai Restaurant,40.7463421117063,-73.89924799709517
75,Queens,Woodside,4a7f6626f964a520e8f31fe3,Thailand's Center Point,Thai Restaurant,40.74653126911064,-73.90024748864485
76,Queens,Woodside,4bedd3e8a40fc928d193820c,Sweet Basil,Thai Restaurant,40.74648420263391,-73.90303279550324
77,Queens,Woodside,57608fb1498e9796802dc2b4,Jaew Hon,Thai Restaurant,40.74650487891514,-73.89381232695563
78,Queens,Jackson Heights,560f2343498e6d1819390cb4,Sompong Thai,Thai Restaurant,40.749506948439134,-73.88332349454004
